"data_hora","data","hora","altura","n_calcado","peso","cirurgia","estetica","estetica_outros","cor","oculos","sexo","estado_civil","n_pessoas_moradia","entidade_estudantil","tipo_entidade_estudantil","religiao","animais_domesticos","outro_animais_domesticos","n_filhos","idade","doa_sangue","frequencia_esporte","n_livros_ano","uf_antes_fearp","n_pessoas_whatsapp","renda_em_sm","auxilio_usp","tipo_auxilio_usp","bandejao","n_refeicoes_bandejao","fundo_de_investimento","cartao_de_credito","conta_em_bancos","previdencia_privada","ano_ingresso_usp","cotas","divide_residencia","n_tv","viagem_exterior","n_paises","idioma_fluente","outro_idioma","plano_saude","escola_colegial","casa_pais","escolaridade_pai","escolaridade_mae","ajuda_financeira_pais","transporte_em_ribeirao","graduacao_anterior","curso_graduacao_anterior","empregado","modalidade_emprego","profissao","trabalho_contabil","cidade_empresa","horas_trabalho_semana","renda_complementar"
2022-08-17 12:55:28,2022-08-17,12H 55M 28S,155,35,"51 a 60 kg","Não","Tatuagem, Piercing","nenhum","Branca","Sim","Feminino","Solteiro","Acima de 5","Sim","Agrocare","Sim","Não possuo animal de estimação",NA,"1","(17 a 20)","Não","quatro ou mais vezes",0,"São Paulo","Entre 101 e 200","Até 2 Salários Mínimos","Sim","Auxilio moradia e auxilio alimentação","Não","0 refeições","Não","Sim","Sim","Não",2022,"Sim","Em república","1","Não","1","Outro:","nenhum","Não","Estudei em ambas com predominância na Pública","Alugada","Ensino fundamental","Ensino Médio","Sim","Ônibus","Não",NA,"Não","Homeoffice","não trabalho","Não","nenhuma","Não trabalho","Não"
2022-08-17 13:06:34,2022-08-17,13H 6M 34S,176,39,"81 a 100 kg","Não","Outros","Não possuo nenhum","Branca","Sim","Masculino","Solteiro","3","Sim","Nexos","Sim","Gato",NA,"1","(21 a 25)","Não","Não pratico esportes regularmente",5,"São Paulo","Acima de 300","De 8 a 10 SM","Não",NA,"Sim","1 refeição","Não","Sim","Não","Não",2018,"Não","Com os pais","3","Sim","2","Outro:","De forma fluente, nenhum","Sim","Estudei em ambas com predominância na Privada","Própria","Pós-graduados","Ensino Superior","Sim","Aplicativo (Uber, 99 Taxi, etc.)","Sim","Física Médica, porém não conclui","Sim","Presencial","Estagiário","Sim","ribeirao preto","Menos de 20h","Não"
2022-08-17 14:12:32,2022-08-17,14H 12M 32S,185,43,"81 a 100 kg","Não","Piercing","nenhum","Branca","Não","Masculino","Solteiro","1","Não",NA,"Não","Cachorro",NA,"1","(21 a 25)","Não","Não pratico esportes regularmente",4,"São Paulo","Acima de 300","De 4 a 6 SM","Não",NA,"Sim","1 refeição","Sim","Sim","Sim","Sim",2018,"Não","Com amigos","1","Sim","3","Inglês",NA,"Sim","Privada","Própria","Pós-graduados","Ensino Superior","Não","Aplicativo (Uber, 99 Taxi, etc.)","Não",NA,"Sim","Homeoffice","Analista Jr","Não","sao paulo","Acima de 40h","Não"
2022-08-17 15:14:19,2022-08-17,15H 14M 19S,171,42,"71 a 80 kg","Não","Tatuagem, Piercing","nenhum","Branca","Não","Masculino","Solteiro","Acima de 5","Não",NA,"Não","Outro:","cachorro, gato, peixe","1","(21 a 25)","Não","três vezes",4,"São Paulo","Até 100","Até 2 Salários Mínimos","Sim","auxilio moradia e auxilio alimentação","Sim","2 refeições","Não","Sim","Sim","Não",2021,"Sim","Em república","1","Não","1","Inglês",NA,"Não","Pública (Estadual, Federal ou Municipal)","Própria","Ensino Médio","Ensino Médio","Não","Bicicleta (própria, alugada, emprestada, etc.)","Sim","engenharia civil (incompleto)","Não","Presencial","estudante","Não","ribeirao preto","Não trabalho","Não"
2022-08-17 15:15:05,2022-08-17,15H 15M 5S,175,37,"61 a 70 kg","Não","Outros","Não tenho nada do tipo.","Branca","Sim","Feminino","Solteiro","3","Não",NA,"Sim","Gato",NA,"1","(17 a 20)","Não","Não pratico esportes regularmente",0,"Rio Grande Do Sul","Entre 101 e 200","Até 2 Salários Mínimos","Sim","Recebo auxílio financeiro","Sim","1 refeição","Não","Sim","Sim","Não",2022,"Sim","Com amigos","2","Sim","Brasil e Uruguai","Outro:","Português","Não","Pública (Estadual, Federal ou Municipal)","Outro","Ensino fundamental","Ensino Superior","Sim","Ônibus","Não",NA,"Sim","Presencial","Estagiário financeiro","Sim","ribeirao preto","20 a 30h","Não"
2022-08-17 15:41:18,2022-08-17,15H 41M 18S,176,41,"61 a 70 kg","Não","Outros","nenhum","Branca","Sim","Masculino","Solteiro","3","Não",NA,"Sim","Não possuo animal de estimação",NA,"1","(17 a 20)","Não","quatro ou mais vezes",8,"Sao Paulo","Até 100","De 2 a 4 SM","Não",NA,"Não","0 refeições","Não","Sim","Sim","Não",2022,"Não","Com os pais","2","Não","1","Inglês",NA,"Sim","Estudei em ambas com predominância na Privada","Própria","Ensino Superior","Ensino Médio","Sim","Aplicativo (Uber, 99 Taxi, etc.)","Não",NA,"Não","Presencial","Estudante","Não","nenhuma","Não trabalho","Não"
2022-08-17 15:45:32,2022-08-17,15H 45M 32S,175,40,"81 a 100 kg","Não","Outros","Não possuo","Branca","Não","Masculino","Solteiro","Acima de 5","Não",NA,"Não","Cachorro",NA,"1","(17 a 20)","Não","quatro ou mais vezes",2,"São Paulo","Entre 101 e 200","Até 2 Salários Mínimos","Não",NA,"Sim","2 refeições","Sim","Não","Sim","Não",2022,"Sim","Em república","1","Sim","3","Inglês",NA,"Não","Pública (Estadual, Federal ou Municipal)","Própria","Ensino Superior","Ensino Superior","Sim","Aplicativo (Uber, 99 Taxi, etc.)","Não",NA,"Não","Presencial","Estudante","Não","ribeirao preto","Não trabalho","Não"
2022-08-17 16:02:53,2022-08-17,16H 2M 53S,186,43,"71 a 80 kg","Sim","Outros","Nada","Branca","Sim","Masculino","Solteiro","4","Sim","CMF","Sim","Cachorro",NA,"1","(17 a 20)","Não","quatro ou mais vezes",2,"São Paulo","Acima de 300","Mais de 10 SM","Não",NA,"Não","0 refeições","Não","Sim","Sim","Não",2021,"Não","Com os pais","4","Não","0","Outro:","Nenhum","Sim","Privada","Própria","Ensino Superior","Ensino Médio","Sim","Carro (próprio, alugado, emprestado, etc.)","Sim","Economia","Sim","Presencial","Estagiário","Sim","serrana","20 a 30h","Não"
2022-08-17 16:12:01,2022-08-17,16H 12M 1S,160,37,"51 a 60 kg","Sim","Piercing","nenhum","Branca","Não","Feminino","Solteiro","5","Não",NA,"Não","Cachorro",NA,"1","(21 a 25)","Não","quatro ou mais vezes",12,"São Paulo","Entre 101 e 200","Até 2 Salários Mínimos","Sim","Auxilio transporte","Não","0 refeições","Não","Sim","Sim","Sim",2022,"Não","Com os pais","4","Não","1","Outro:","Português","Não","Pública (Estadual, Federal ou Municipal)","Própria","Ensino Médio","Ensino fundamental","Não","Ônibus","Sim","Gestão de Recursos Humanos","Sim","Presencial","Estagiaria em Controladoria","Sim","sertaozinho","20 a 30h","Não"
2022-08-17 16:57:52,2022-08-17,16H 57M 52S,185,43,"81 a 100 kg","Sim","Tatuagem, Piercing","Tatuagem e piercing na orelha","Branca","Sim","Masculino","Solteiro","Acima de 5","Sim","Núcleo dos Investidores","Não","Cachorro",NA,"1","(26 a 30)","Não","até duas vezes",8,"Rio de Janeiro","Acima de 300","Até 2 Salários Mínimos","Sim","auxílio moradia","Sim","2 refeições","Não","Sim","Sim","Não",2022,"Não","Em república","1","Não","0","Inglês",NA,"Não","Privada","Outro","Ensino Médio","Ensino Superior","Não","Ônibus","Sim",NA,"Não","Presencial","Estudante","Não","ribeirao preto","20 a 30h","Sim"
